Name,City,Address,Lat,Lng,Code,Unknown 1,Unknown (City) 2,Timing (Mon-to-Sat),Timing (Friday),Status,Break,Unknown 3,Unknown 4,Unknown 5
,Mandi Bahauddin,Telephone Exchange Mandi Bahaudin Opposite Govt High School Thana Road,32.583673,73.494003,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,495,1:00 PM to 2:00 PM
,Mansehra,Main Telephone Exchange Kashmir Road Manshera,34.33693,73.204544,CC_JS MANSEHRA,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,556,1:00 PM to 2:00 PM
,Mardan,PTCL Ufone Service Center Near Main Telephone Exchange Mardan,34.194302,72.034535,CC_JS MARDAN,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,559,1:00 PM to 2:00 PM
,Mian Channu,PTCL Telephone Mian Channu,30.444464,72.354799,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,540,1:00 PM to 2:00 PM
,Mirpur,PTCL Ufone Joint Shop Opp Alam Marriage Hall Allama Iqbal Road Mirpur AJK,33.149091,73.738042,CC_JS MIRPUR AJK,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,568,1:00 PM to 2:00 PM
,Mirpurkhas,PTCL Smart Shop City Revenue Office PTCL Near Main GPO Chowk Mirpurkhas,25.52738,69.015256,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,578,1:00 PM to 2:00 PM
,Multan,PTCL Exchange Opposite Old Coca Factory Mumtazabad Multan,30.172662,71.479984,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,525,1:00 PM to 2:00 PM
,Multan,PTCL Exchange Near 6-Chungi Gulgasht Multan,30.242221,71.484719,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,586,1:00 PM to 2:00 PM
,Multan,PTCL Exchange Opposite Metro Station New Multan,30.20432,71.515618,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,587,1:00 PM to 2:00 PM
,Multan,"Ufone PTCL Joint Shop, CTX Dera Adda Exchange, Near Nawan Sher Multan",30.191133,71.452689,CC_JS-DERA ADDA MULTAN,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,616,1:00 PM to 2:00 PM
CC_JS MURIDKEY,Muridkey,PTCL Exchange 1 KM Narowal Road Shahzad Town Muridkey,31.81434,74.263937,,1,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,673,1:00 PM to 2:00 PM
,Muzaffarabad,PTCL/Ufone Joint shop near Opposite Rahat Bakers Adjacent to Tahzeeb Bakers/Bank Islamic Domail road Muzaffarabad,34.35512,73.4715,CC_JS MUZAFFARABAD AJK,5,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,569,1:00 PM to 2:00 PM
,Nankana,OSS Telephone Exchange Near Larry Adda Nankana Sahib,31.451225,73.713793,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,488,1:00 PM to 2:00 PM
,Narang Mandi,"PTCL Exchange, Near MCB bank, Rafiqabad, Narang Mandi",31.90275,74.51443,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,477,1:00 PM to 2:00 PM
,Narowal,Mini OSS PTCL Exchange Narowal,32.103807,74.866189,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,451,1:00 PM to 2:00 PM
,Nawabshah,PTCL Smart Shop Near Sehraz Chowk Kachehry Road Nawabshah,26.24909,68.40654,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,579,1:00 PM to 2:00 PM
,Nowshera,Near PTCL Exchange By Pass Road Near Railway Station Nowshera Cantt,34.0001,72.001,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,531,1:00 PM to 2:00 PM
,Nowshera Wirkan,Mini OSS Telephone Exchange Tatlayali Road Nowshera Virkan,31.9896179,74.1271772,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,496,1:00 PM to 2:00 PM
,Okara,PTCL Telephone Exchange MA Jinnah Road Okara,30.804932,73.436828,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,541,1:00 PM to 2:00 PM
,Pakpattan,PTCL Telephone Exchange Near Gallah Mandi Pakpattan,30.35266,73.391684,CC_JS PAKPATTAN,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,542,1:00 PM to 2:00 PM
,Pasroor,Telephone Exchange Pasroor Near Girls Degree College,32.264301,74.652043,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,472,1:00 PM to 2:00 PM
,Pattoki,PTCL Telephone Exchange Pattoki,31.019053,73.851951,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,543,1:00 PM to 2:00 PM
,Peshawar,PTCL Khyber Exchange Opposite Chief Burger Main University Road Peshawar,34.001964,71.496681,CC_JS KHYBER UNIVERSITY ROAD PESHAWAR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,560,1:00 PM to 2:00 PM
,Peshawar,PTCL Office Building OSS Industrial Estates Jamrud Road Peshawar,33.9857,71.4172,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,570,1:00 PM to 2:00 PM
,Peshawar,Adjacent To BM Cantt Exchange PTCL Sher Shah Suri Road Peshawar Cantt,34.0002011,71.499499,CC_JS CANTT PESHAWAR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,574,1:00 PM to 2:00 PM
,Peshawar,"JS Hayatabad, near CIVIC Center, phase 2, Hayatabad",33.9685889,71.443094,CC_JS-HAYATABAD PESHAWAR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,621,1:00 PM to 2:00 PM
,Peshawar,Ufone PTCL Joint Shop Khyber Bazar Peshawar,34.009963,71.565975,CC_JS KHYBER BAZAR PESHAWAR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,622,1:00 PM to 2:00 PM
,Phalia,Mini OSS Telephone Exchange Nr-Hella Chungi Phalia,32.4337902,73.5854101,CC_JS PHALIA,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,497,1:00 PM to 2:00 PM
,Quetta,PTCL Smart Shop CTO Besides Main GPO Zarghoon Road Quetta,30.20021,67.00793,"CC_JS CTO COMPOUND, QUETTA",0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,566,1:00 PM to 2:00 PM
,Quetta,PTCL Smart Shop- Sharah-e-Jaffar Khan Jamali Road Quetta,30.20062,67.00486,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,580,1:00 PM to 2:00 PM
,Quetta,Telephone Exchange Burma Hotel Near Old AG Office Sariab Road Quetta,30.15676,66.98564,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,467,1:00 PM to 2:00 PM
,Quetta,OSS City Mecongy Road Abdul Aziz Street Quetta,30.18595,67.01548,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,468,1:00 PM to 2:00 PM
,Quetta,Smart Shop Near Pearls Institute Alamdar Road Quetta,30.190795,67.026083,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,483,1:00 PM to 2:00 PM
,Quetta,"Brewery Exchange, Brewery Road, Near Bolan Medical Complex Hospital, Quetta",30.18748,66.97378,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,484,1:00 PM to 2:00 PM
,Quetta,Telephone Exchange Chaghi Road Quetta Cantt,30.20956,67.04151,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,485,1:00 PM to 2:00 PM
,Rahim Yar Khan,PTCL Exchange Rahim Yar Khan,28.422883,70.309536,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,588,1:00 PM to 2:00 PM
,Raiwind,Ufone PTCL Joint Shop Sundar Road Telephone Exchange Raiwind,31.246853,74.212916,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,508,1:00 PM to 2:00 PM
,Rawalpindi,Ufone PTCL Joint Shop Near Social Security Hospital Adjacent PTCL Exchange Main IJP Road Rawalpindi,33.619873,73.001628,CC_JS WESTRIDGE RAWALPINDI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,561,1:00 PM to 2:00 PM
,Rawalpindi,PTCL OSS Kashmir Road Saddar Rawalpindi,33.593281,73.049241,"CC_JS CANTT SHOP, RAWALPINDI",0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,571,1:00 PM to 2:00 PM
,Rawalpindi,Ufone PTCL Joint Shop Kashmiri Bazar Rawalpindi,33.612358,73.054207,CC_JS RAJA BAZAR CITY RAWALPINDI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,595,1:00 PM to 2:00 PM
,Rawalpindi,"Joint Shop (Ufone & PTCL), 7th road S-Town rawalpindi",33.64509,73.069911,CC_JS SATELLITE TOWN RAWALPINDI,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,596,1:00 PM to 2:00 PM
,Rawalpindi,"Ufone PTCL Joint Shop, Chaklal Opp Fouji Tower Rwp",33.606864,73.084952,CC_JS-CHAKLALA RWP,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,623,1:00 PM to 2:00 PM
,Renalakhurd,PTCL Telephone Exchange Anwar Shaheed Colony Renala Khurd,30.874299,73.591662,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,544,1:00 PM to 2:00 PM
,Sadiqabad,PTCL Exchange Sadiqabad,28.310655,70.129089,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,527,1:00 PM to 2:00 PM
,Sahiwal,"PTCL Ufone Joint Shop, Telephone Exchange, Mission Chowk (Infront of 1122 Office), Sahiwal.",30.66884,73.103473,"CC_JS MISSION CHOWK, SAHIWAL",0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,545,1:00 PM to 2:00 PM
,Sambrial,Mini OSS PTCL Exchange Sambrial,32.477759,74.345525,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,473,1:00 PM to 2:00 PM
,Samundri,"OSS PTCL Telephone Exchange Nehar Bazar, Samundri",31.060732,72.961834,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,489,1:00 PM to 2:00 PM
,Sargodha,Inside Telephone Exchange Iqbal Town Sargodha,32.072313,72.669476,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,583,1:00 PM to 2:00 PM
,Sargodha,Adjacent Telephone Exchange Iqbal Colony Sargodha,32.09726,72.67387,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,445,1:00 PM to 2:00 PM
,Shahdara,PTCL Telephone Exchange Sheikhupura Road Shahdara,31.6180443,74.283427,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,617,1:00 PM to 2:00 PM
,Shahkot,OSS Telephone Exchange Shah Kot,31.574767,73.483506,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,446,1:00 PM to 2:00 PM
,Shakar Garh,Mini OSS Telephone Exchange Railway Road Shakargarh,32.263635,75.160759,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,498,1:00 PM to 2:00 PM
,Sharaqpur,OSS Telephone Exchange Sharaqpur Near Rural Health Center Sharqpur,31.465968,74.093511,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,515,1:00 PM to 2:00 PM
,Sheikhupura,OS Telephone Exchange Opposite Railways Station Qila Sheikhupura,31.717226,73.977837,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,478,1:00 PM to 2:00 PM
,Shujabad,PTCL Exchange Shujabad,29.879846,71.310565,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,464,1:00 PM to 2:00 PM
,Sialkot,"Adjacent to CTX, Paris Road, Sialkot",32.498972,74.538694,"JS Paris Road, Sialkot",0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,618,1:00 PM to 2:00 PM
,Sialkot,Mini OSS PTCL Exchange Site Sialkot,32.486817,74.517671,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,452,1:00 PM to 2:00 PM
,Sialkot,Pakistan Chowk Telephone Exchange Cantt Sialkot,32.519326,74.5406525,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,499,1:00 PM to 2:00 PM
,Sukkur,PTCL Smart Shop Minara Road Sukkur,27.695178,68.868877,CC_JS SUKKUR,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,549,1:00 PM to 2:00 PM
,Swat,Ufone PTCL Joint Shop Telephone Exchange Makan Bagh,34.7682111,72.3559087,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,597,1:00 PM to 2:00 PM
,Taunsa,Ufone PTCL Joint Shop PTCL Exchange Taunsa Sharif,30.709616,70.651539,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,528,1:00 PM to 2:00 PM
,Toba Tek Singh,Main Telephone Exchange Toba Tek Singh,30.969774,72.477125,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,491,1:00 PM to 2:00 PM
,Vehari,PTCL Exchange Vehari,30.038078,72.354415,,0,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,589,1:00 PM to 2:00 PM
CC_JS WAH CANTT,Wah Cantt,"Ufone PTCL Joint Shop, Aslam Market Wah Cantt",33.763912,72.769761,,0,,9:00 AM to 5:30 PM,9:00 AM to 5:00 PM,CLOSED,,1,562,1:00 PM to 2:00 PM
CC_JS WAZIR ABAD,Wazir Abad,Mini OSS PTCL Exchange Sambrial Road Wazir Abad,32.4405578,74.1167434,,5,,9:00 AM to 5:00 PM,9:00 AM to 5:00 PM,CLOSED,,1,500,1:00 PM to 2:00 PM
